module	T	B	N	F	fns
Imscribing/Millennium/Cramer	0	4	79	0	65
Imscribing/Millennium/CrystalBoot	0	4	75	0	62
Imscribing/Millennium/DarkEnergy	0	6	89	0	75
Imscribing/Millennium/DialetheicUniverse	0	28	117	0	119
Imscribing/Millennium/DimensionfulEmission	0	4	67	0	56
Imscribing/Millennium/Dixmier	0	4	75	0	62
Imscribing/Millennium/DualLinkVessel	0	96	520	0	517
Imscribing/Millennium/E8G2_Vessel	0	4	43	0	38
Imscribing/Millennium/E8G2_Vessel_Witnesses	0	4	63	0	50
Imscribing/Millennium/EilenbergGanea	0	5	118	0	96
Imscribing/Millennium/Erdos/APFreeReduction	0	4	39	0	35
Imscribing/Millennium/Erdos/AdditiveEnergy	0	7	83	0	72
Imscribing/Millennium/Erdos/AntiRamseyOddCycles	1	26	143	0	137
Imscribing/Millennium/Erdos/Base	1	24	119	0	117
Imscribing/Millennium/Erdos/BinomialGCD	0	5	71	0	60
Imscribing/Millennium/Erdos/ChromaticOddCycle	0	6	87	0	73
Imscribing/Millennium/Erdos/CollatzDepthSplit	0	44	277	0	258
Imscribing/Millennium/Erdos/Collatz_Escape_Measure	0	4	39	0	35
Imscribing/Millennium/Erdos/Collatz_Proof_Skeleton	0	6	80	0	68
Imscribing/Millennium/Erdos/Collatz_Unified_Closure	0	61	71	0	64
Imscribing/Millennium/Erdos/DifferenceSets	0	7	103	0	86
Imscribing/Millennium/Erdos/ErdosKacInterval	0	4	75	0	62
Imscribing/Millennium/Erdos/ErdosTuranAP	0	4	71	0	59
Imscribing/Millennium/Erdos/MonochromaticOddCycle	1	13	151	0	130
Imscribing/Millennium/Erdos/PolynomAsymptotics	0	20	142	0	130
Imscribing/Millennium/Erdos/PomeranceSDR	0	27	205	0	187
Imscribing/Millennium/Erdos/Problems/FullDecomposedProof	0	6	51	0	46
Imscribing/Millennium/Erdos/Problems/FullyDecomposedProof	0	5	51	0	45
Imscribing/Millennium/Erdos/Problems/Problem0003	0	4	47	0	41
Imscribing/Millennium/Erdos/Problems/Problem0041	0	4	35	0	32
Imscribing/Millennium/Erdos/Problems/Problem0500	0	4	35	0	32
Imscribing/Millennium/Erdos/Problems/Problem0564	1	28	195	0	184
Imscribing/Millennium/Erdos/Problems/Problem0593	0	33	203	0	194
Imscribing/Millennium/Erdos/Problems/Problem1135	0	6	67	0	58
Imscribing/Millennium/Erdos/RamseyAsymptotics	0	4	63	0	53
Imscribing/Millennium/Erdos/RatioSetSharp	0	4	39	0	35
Imscribing/Millennium/Erdos/SchutteTClose	0	13	92	0	84
Imscribing/Millennium/Erdos/SchutteTournament	0	23	173	0	156
Imscribing/Millennium/Erdos/SidonCounting	0	18	134	0	122
Imscribing/Millennium/Erdos/SquarefreePlusPowerOfTwo	0	6	59	0	52
Imscribing/Millennium/Erdos/SquarefreePlusPowerOfTwoClose	0	6	59	0	52
Imscribing/Millennium/Erdos/StrausGreedyFamily	0	4	35	0	32
Imscribing/Millennium/Erdos/SubgroupOrders	0	24	188	0	168
Imscribing/Millennium/Erdos/SumsetAvoidingAP	0	29	273	0	240
Imscribing/Millennium/Erdos/TrianglePartition	0	8	100	0	85
Imscribing/Millennium/Erdos/UnitDistance	0	4	59	0	50
Imscribing/Millennium/ErdosFormalize	0	11	71	0	66
Imscribing/Millennium/ErdosFormalize2	0	13	119	0	104
Imscribing/Millennium/ErdosFormalize3	0	11	90	0	81
Imscribing/Millennium/ErdosProblems	0	20	237	0	216
Imscribing/Millennium/FieldTheoreticMacrocycle	0	22	103	0	102
Imscribing/Millennium/FineStructureConstant	0	4	71	0	59
Imscribing/Millennium/FrobeniusStructure	1	32	163	0	160
Imscribing/Millennium/FrobeniusUnification	1	53	427	0	400
Imscribing/Millennium/GapCompletion	0	4	95	0	77
Imscribing/Millennium/GeneralizedPipeline	3	142	892	0	847
Imscribing/Millennium/GodelCompleteSentence	0	11	139	0	117
Imscribing/Millennium/GodelCompleteUniverse	0	4	47	0	41
Imscribing/Millennium/GodelCompletion	0	13	139	0	119
Imscribing/Millennium/GodelResolvedFinal	0	12	168	0	140
Imscribing/Millennium/Goldbach	0	4	71	0	59
Imscribing/Millennium/GoldbachABC	0	6	67	0	58
Imscribing/Millennium/GrammarBridge	0	55	186	0	184
Imscribing/Millennium/GrammarMetricDerivation	0	4	55	0	47
Imscribing/Millennium/GrammarSICPOVM_ZaunerBridge	0	4	55	0	47
Imscribing/Millennium/GrammarStructuralAnalysis	0	9	326	0	267
Imscribing/Millennium/GrammarUniversalDualFrameSICPOVM	0	4	111	0	89
Imscribing/Millennium/GravitationalCoupling	0	4	75	0	62
Imscribing/Millennium/GrothendieckA	0	4	103	0	83
Imscribing/Millennium/HadwigerNelson	0	4	51	0	44
Imscribing/Millennium/Hodge	0	4	43	0	38
Imscribing/Millennium/Hodge_AlgebraicCycleConstruction	0	4	43	0	38
Imscribing/Millennium/Hodge_Descent	0	4	35	0	32
Imscribing/Millennium/Hodge_GateInhabitants	0	5	56	0	49
Imscribing/Millennium/Hodge_Grammar	0	6	143	0	115
Imscribing/Millennium/Hodge_KernelCrossing	0	14	81	0	77
Imscribing/Millennium/Hodge_Mathematical_Witness	0	4	51	0	44
Imscribing/Millennium/Hodge_RegulatorSurjectivity	0	4	71	0	59
Imscribing/Millennium/Hodge_ThresholdCrossing	0	59	183	0	183
Imscribing/Millennium/Hodge_Witness	0	4	63	0	53
Imscribing/Millennium/HolonomyWinding	0	14	75	0	72
Imscribing/Millennium/HornTorusEmission	0	4	51	0	44
Imscribing/Millennium/HornTorusModularForm	0	6	75	0	64
Imscribing/Millennium/HubbleConstant	0	4	67	0	56
Imscribing/Millennium/IGThresholdAnalysis	0	87	92	0	84
Imscribing/Millennium/ImaginaryNumbers	0	5	70	0	60
Imscribing/Millennium/InflationarySlowRoll	0	4	63	0	53
Imscribing/Millennium/LeeYang_Xi_Product_Construction	0	5	63	0	54
Imscribing/Millennium/Lefschetz11	0	4	43	0	38
Imscribing/Millennium/Lefschetz11_Grammar	0	4	123	0	98
Imscribing/Millennium/LeptonMassRatios	0	4	71	0	59
Imscribing/Millennium/LonelyRunner	0	4	59	0	50
Imscribing/Millennium/Macrocycle107_1135_713	2	57	259	0	257
Imscribing/Millennium/MacrocyclicClosure	0	25	114	0	113
Imscribing/Millennium/MajoranaPhases	0	4	39	0	35
Imscribing/Millennium/Manuscript_ZFCt	0	8	59	0	54
Imscribing/Millennium/Master_Witness	0	4	59	0	50
Imscribing/Millennium/MathProof	1	112	366	0	369
Imscribing/Millennium/NS	0	4	47	0	41
Imscribing/Millennium/NS_CriticalBound	0	4	55	0	47
