module	T	B	N	F	fns
Imscribing/Paraconsistent/NuclearBelnap	0	29	176	0	165
Imscribing/Paraconsistent/OrbitalBelnap	1	33	161	0	159
Imscribing/Paraconsistent/Paraconsistent	1	33	177	0	172
Imscribing/Paraconsistent/ParaconsistentShell	2	20	205	0	180
Imscribing/Paraconsistent/ParaconsistentTopos	0	6	91	0	78
Imscribing/Paraconsistent/Paradice	0	32	215	0	198
Imscribing/Paraconsistent/ParadoxFS	0	35	218	0	202
Imscribing/Paraconsistent/Portal	1	34	220	0	203
Imscribing/Paraconsistent/QCDColorFrustration	2	51	286	0	274
Imscribing/Paraconsistent/QCI_FrobeniusBias	0	24	164	0	152
Imscribing/Paraconsistent/QCI_PvsNP_Bridge	0	8	95	0	83
Imscribing/Paraconsistent/QCI_RH_Bridge	0	4	59	0	50
Imscribing/Paraconsistent/QCI_SICPOVM_Bridge	0	5	60	0	52
Imscribing/Paraconsistent/QCI_Sequences	0	6	53	0	48
Imscribing/Paraconsistent/QCI_YM_Bridge	0	4	51	0	44
Imscribing/Paraconsistent/QCI_nRegister	0	10	99	0	87
Imscribing/Paraconsistent/QuantumClassicalInterface	1	16	176	0	154
Imscribing/Paraconsistent/QuantumGravityBelnap	5	185	556	0	617
Imscribing/Paraconsistent/QuarkBelnap	0	50	238	0	234
Imscribing/Paraconsistent/QuarkFlavor	2	97	394	0	390
Imscribing/Paraconsistent/SelfVerification	0	4	47	0	41
Imscribing/Paraconsistent/SelfVerifyingWASM	0	145	290	0	245
Imscribing/Paraconsistent/Shor/BelnapModExp	0	8	77	0	68
Imscribing/Paraconsistent/Shor/BelnapNFiducial	1	13	167	0	146
Imscribing/Paraconsistent/Shor/BelnapQFT	0	6	47	0	43
Imscribing/Paraconsistent/Shor/BelnapRing2048	0	7	82	0	71
Imscribing/Paraconsistent/Shor/BelnapWHMultilattice	0	22	252	0	217
Imscribing/Paraconsistent/Shor/DialetheicOperator	0	4	63	0	53
Imscribing/Paraconsistent/Shor/FullPipeline	0	4	63	0	53
Imscribing/Paraconsistent/Shor/MZIMesh	0	4	47	0	41
Imscribing/Paraconsistent/Shor/SIC_Multilattice_Proof	0	19	236	0	204
Imscribing/Paraconsistent/StandardModelBelnap	4	193	633	0	664
Imscribing/Paraconsistent/SuperconductingPhase	0	9	136	0	115
Imscribing/Paraconsistent/TenProofs	0	21	201	0	175
Imscribing/Paraconsistent/TernaryTruth	3	29	162	0	158
Imscribing/Paraconsistent/TupleCodec	3	116	664	0	478
Imscribing/ParityIndex	0	12	128	0	118
Imscribing/PhilosophicalSystem	0	4	39	0	35
Imscribing/PowerMath/AbundanceTheorem	0	4	67	0	56
Imscribing/PowerMath/AndrewsCurtisTheorem	0	4	67	0	56
Imscribing/PowerMath/ArtinSTheoremOnPrimitiveRoots	0	4	67	0	56
Imscribing/PowerMath/BarnetteSTheorem	0	4	67	0	56
Imscribing/PowerMath/BerryTaborTheorem	0	4	67	0	56
Imscribing/PowerMath/BorelTheorem	0	4	67	0	56
Imscribing/PowerMath/BrennanTheorem	0	4	67	0	56
Imscribing/PowerMath/BrocardSTheorem	0	4	67	0	56
Imscribing/PowerMath/CasasAlveroTheorem	0	4	67	0	56
Imscribing/PowerMath/DadeSTheorem	0	4	67	0	56
Imscribing/PowerMath/EilenbergGaneaTheorem	0	4	67	0	56
Imscribing/PowerMath/FarrellJonesTheorem	0	4	67	0	56
Imscribing/PowerMath/FermatNumberCompositenessTheorem	0	4	67	0	56
Imscribing/PowerMath/FugledeSTheorem	0	4	67	0	56
Imscribing/PowerMath/HadamardSMaximalDeterminantTheorem	0	4	67	0	56
Imscribing/PowerMath/HadamardTheorem	0	4	67	0	56
Imscribing/PowerMath/HerzogSchNheimTheorem	0	4	67	0	56
Imscribing/PowerMath/HilbertArnoldTheorem	0	4	67	0	56
Imscribing/PowerMath/InscribedSquareTheoremToeplitzTheorem	0	4	67	0	56
Imscribing/PowerMath/InvariantSubspaceTheorem	0	4	67	0	56
Imscribing/PowerMath/JacobsonSTheorem	0	4	67	0	56
Imscribing/PowerMath/KTheTheorem	0	4	67	0	56
Imscribing/PowerMath/KaplanskySTheorems	0	4	67	0	56
Imscribing/PowerMath/LegendreSTheorem	0	4	67	0	56
Imscribing/PowerMath/LehmerSTheorem	0	4	67	0	56
Imscribing/PowerMath/LonelyRunnerTheorem	0	4	67	0	56
Imscribing/PowerMath/MargulisTheorem	0	4	67	0	56
Imscribing/PowerMath/MckayTheorem	0	4	67	0	56
Imscribing/PowerMath/MlcTheorem	0	4	67	0	56
Imscribing/PowerMath/NoThreeInLineTheorem	0	4	67	0	56
Imscribing/PowerMath/NovikovTheorem	0	4	67	0	56
Imscribing/PowerMath/RokhlinSMultipleMixingTheorem	0	4	67	0	56
Imscribing/PowerMath/RotaSBasisTheorem	0	4	67	0	56
Imscribing/PowerMath/SendovSTheorem	0	4	67	0	56
Imscribing/PowerMath/SerreSTheoremIi	0	4	67	0	56
Imscribing/PowerMath/ShavianDefs	0	38	47	0	75
Imscribing/PowerMath/SmoothFourDimensionalPoincarTheorem	0	4	67	0	56
Imscribing/PowerMath/SunflowerTheorem	0	4	67	0	56
Imscribing/PowerMath/The1323Theorem	0	4	67	0	56
Imscribing/PowerMath/UnionClosedSetsTheorem	0	4	67	0	56
Imscribing/PowerMath/WeinsteinTheorem	0	4	67	0	56
Imscribing/PowerMath/ZariskiLipmanTheorem	0	4	67	0	56
Imscribing/PrimitiveMismatch	0	42	199	0	195
Imscribing/Primitives/AlchemicalIdentity	0	18	295	0	253
Imscribing/Primitives/BSD_2adic	0	5	85	0	71
Imscribing/Primitives/CLU	0	5	52	0	46
Imscribing/Primitives/Catalog	0	7	47	0	44
Imscribing/Primitives/Core	12	366	1209	0	1315
Imscribing/Primitives/Crystal	3	58	343	0	332
Imscribing/Primitives/EML	0	9	94	0	83
Imscribing/Primitives/Imscription	8	64	495	0	457
Imscribing/Primitives/Lattice	0	5	80	0	68
Imscribing/Primitives/LinearOrder	0	8	290	0	252
Imscribing/Primitives/OPN_2adic	0	4	67	0	56
Imscribing/Primitives/SacredVessel	0	10	69	0	67
Imscribing/Primitives/ScrollInvariant	0	4	63	0	53
Imscribing/Primitives/TierCrossing	1	6	96	0	82
Imscribing/Primitives/Types/PrimitiveTypeAdo	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeAge	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeAh	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeAir	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeAre	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeArray	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeAsh	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeAwe	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeBib	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeChurch	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeDead	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeEar	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeEat	0	4	70	0	59
Imscribing/Primitives/Types/PrimitiveTypeEgg	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeErr	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeFee	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeGag	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeHaHa	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeHung	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeIan	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeIce	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeIf	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeJudge	0	4	70	0	59
Imscribing/Primitives/Types/PrimitiveTypeKick	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeLoll	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeMeasure	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeMime	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeMonad	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeNun	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeOak	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeOil	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeOn	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeOoze	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeOr	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeOut	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypePeep	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeRoar	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeSo	0	4	69	0	58
Imscribing/Primitives/Types/PrimitiveTypeSure	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeThey	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeThigh	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeTot	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeUp	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeVow	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeWoe	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeWool	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeYea	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeYew	0	4	67	0	56
Imscribing/Primitives/Types/PrimitiveTypeZoo	0	4	67	0	56
Imscribing/ProofTheory	0	12	128	0	124
Imscribing/Quantum/ExcitedStates	1	32	189	0	180
Imscribing/Quantum/FibonacciAnyon	0	24	116	0	114
Imscribing/Quantum/FrobeniusDualPOVM	0	21	112	0	108
Imscribing/Quantum/GateObstruction	0	4	56	0	48
Imscribing/Quantum/GrammarPOVM	7	282	784	0	891
Imscribing/Quantum/OVM	0	65	232	0	236
Imscribing/Quantum/PeriodReadout	0	4	47	0	41
Imscribing/Quantum/WindingLattice	0	5	67	0	57
Imscribing/Quersitanus	0	4	43	0	38
Imscribing/RotatOpOpcode	0	7	64	0	57
Imscribing/Scratch/ProverScratch	0	4	39	0	35
Imscribing/Scratch/ProverScratchB	0	4	35	0	32
Imscribing/Seals	0	4	51	0	44
Imscribing/SerpentRod	0	47	340	0	302
Imscribing/SixCoeffFrobenius	0	4	87	0	71
Imscribing/SpectralFace	0	11	82	0	75
Imscribing/TheGrammarAppliedToTheGrammar	0	4	63	0	53
Imscribing/Tier2/CLU_GPM	3	160	794	0	767
Imscribing/TierRefinement	1	29	156	0	150
Imscribing/TimeFixedPoint	0	4	60	0	51
Imscribing/TimeWithinTheStone	0	5	144	0	115
Imscribing/Urbigerus	0	4	47	0	41
Imscribing/UsableZeroPointEnergy	0	4	71	0	59
Imscribing/VaeVitaScaffold	0	4	35	0	32
Imscribing/VesselContent	0	10	99	0	86
Imscribing/VitalNecrosis	0	4	59	0	50
Imscribing/Vox/ProofLift	0	106	379	0	284
Imscribing/at_home_zpe_scaffold	0	4	31	0	29
