module	T	B	N	F	fns
Paraconsistent/ParaconsistentTopos.olean	23	1501	5330	0	5400
Paraconsistent/Paradice.olean	225	3824	11437	2	9061
Paraconsistent/ParadoxFS.olean	85	1477	5814	3	4634
Paraconsistent/Portal.olean	97	1656	6460	0	4907
Paraconsistent/QCDColorFrustration.olean	237	3229	10346	0	9013
Paraconsistent/QCI_FrobeniusBias.olean	28	1561	12390	0	12213
Paraconsistent/QCI_PvsNP_Bridge.olean	19	1518	3610	1	2297
Paraconsistent/QCI_RH_Bridge.olean	11	1168	3325	0	3572
Paraconsistent/QCI_SICPOVM_Bridge.olean	83	1345	6986	3	2588
Paraconsistent/QCI_Sequences.olean	8	4242	2929	0	4096
Paraconsistent/QCI_YM_Bridge.olean	22	1268	6774	0	6604
Paraconsistent/QCI_nRegister.olean	102	1592	11047	53	4625
Paraconsistent/QuantumClassicalInterface.olean	99	2214	8739	3	5522
Paraconsistent/QuantumGravityBelnap.olean	97	3578	35037	0	28747
Paraconsistent/QuarkBelnap.olean	204	2918	11879	4	8159
Paraconsistent/QuarkFlavor.olean	296	2783	12385	2	9519
Paraconsistent/SelfVerification.olean	7	914	2059	0	2408
Paraconsistent/SelfVerifyingWASM.olean	154	2526	12357	2	10952
Paraconsistent/Shor/BelnapModExp.olean	89	968	6896	14	6750
Paraconsistent/Shor/BelnapNFiducial.olean	70	1380	3540	4	3111
Paraconsistent/Shor/BelnapQFT.olean	27	794	1959	0	1700
Paraconsistent/Shor/BelnapRing2048.olean	59	1455	3098	0	2904
Paraconsistent/Shor/BelnapWHMultilattice.olean	350	2729	12028	1	10732
Paraconsistent/Shor/DialetheicOperator.olean	18	735	1462	2	1493
Paraconsistent/Shor/FullPipeline.olean	32	901	2204	2	1830
Paraconsistent/Shor/MZIMesh.olean	14	3166	10251	0	3507
Paraconsistent/Shor/SIC_Multilattice_Proof.olean	117	1926	4942	3	4257
Paraconsistent/StandardModelBelnap.olean	229	6130	24011	0	21317
Paraconsistent/SuperconductingPhase.olean	54	2011	6244	1	6088
Paraconsistent/TenProofs.olean	166	2900	14520	4	5646
Paraconsistent/TernaryTruth.olean	96	1239	5088	1	3817
Paraconsistent/TupleCodec.olean	26	14006	10676	0	13400
ParityIndex.olean	577	24128	135847	1	134586
PhilosophicalSystem.olean	21	1196	6419	0	6485
PowerMath/AbundanceTheorem.olean	16	946	2279	0	2421
PowerMath/AndrewsCurtisTheorem.olean	24	1926	2978	0	4019
PowerMath/ArtinSTheoremOnPrimitiveRoots.olean	21	879	2866	2	3100
PowerMath/BarnetteSTheorem.olean	20	867	2352	0	1965
PowerMath/BerryTaborTheorem.olean	19	814	1442	0	1417
PowerMath/BorelTheorem.olean	14	2172	967	0	2543
PowerMath/BrennanTheorem.olean	8	931	2899	0	3150
PowerMath/BrocardSTheorem.olean	22	793	2173	0	1254
PowerMath/CasasAlveroTheorem.olean	5	804	1694	0	1949
PowerMath/DadeSTheorem.olean	29	791	1479	0	1414
PowerMath/EilenbergGaneaTheorem.olean	8	1046	3542	1	3744
PowerMath/FarrellJonesTheorem.olean	20	896	2440	0	2571
PowerMath/FermatNumberCompositenessTheorem.olean	22	738	1164	0	1262
PowerMath/FugledeSTheorem.olean	6	1525	1250	0	1588
PowerMath/HadamardSMaximalDeterminantTheorem.olean	24	885	1471	0	1454
PowerMath/HadamardTheorem.olean	53	1388	1589	0	2094
PowerMath/HerzogSchNheimTheorem.olean	23	817	1488	0	1435
PowerMath/HilbertArnoldTheorem.olean	4	2246	3395	0	3634
PowerMath/InscribedSquareTheoremToeplitzTheorem.olean	2	1715	1770	0	2252
PowerMath/InvariantSubspaceTheorem.olean	13	985	2835	0	2852
PowerMath/JacobsonSTheorem.olean	20	839	1615	0	1476
PowerMath/KTheTheorem.olean	26	970	1928	0	1769
PowerMath/KaplanskySTheorems.olean	23	886	2580	0	1381
PowerMath/LegendreSTheorem.olean	16	829	1688	0	1712
PowerMath/LehmerSTheorem.olean	13	851	2444	0	1455
PowerMath/LonelyRunnerTheorem.olean	25	850	3390	0	1515
PowerMath/MargulisTheorem.olean	16	721	3055	0	1222
PowerMath/MckayTheorem.olean	1	1679	2750	0	1306
PowerMath/MlcTheorem.olean	18	826	2046	0	1947
PowerMath/NoThreeInLineTheorem.olean	63	1121	862	0	1296
PowerMath/NovikovTheorem.olean	26	824	1516	0	1460
PowerMath/RokhlinSMultipleMixingTheorem.olean	14	1039	4738	0	2772
PowerMath/RotaSBasisTheorem.olean	3	1499	1198	0	1654
PowerMath/SendovSTheorem.olean	11	869	4079	0	2634
PowerMath/SerreSTheoremIi.olean	16	772	3026	0	1365
PowerMath/ShavianDefs.olean	58	1309	5725	1	4533
PowerMath/SmoothFourDimensionalPoincarTheorem.olean	1	1252	766	0	1274
PowerMath/SunflowerTheorem.olean	20	769	1375	0	1357
PowerMath/The1323Theorem.olean	14	796	1497	0	1440
PowerMath/UnionClosedSetsTheorem.olean	14	965	2222	0	2368
PowerMath/WeinsteinTheorem.olean	4	2500	1989	0	3553
PowerMath/ZariskiLipmanTheorem.olean	11	930	2357	0	2485
PrimitiveMismatch.olean	115	2721	15526	0	10787
Primitives/AlchemicalIdentity.olean	9	3093	1515	1	2676
Primitives/BSD_2adic.olean	106	2798	9457	3	7340
Primitives/CLU.olean	296	3224	11227	3	9820
Primitives/Catalog.olean	23	1321	5856	0	5866
Primitives/Core.olean	112	105727	65565	1	120130
Primitives/Crystal.olean	713	40704	156266	10	153954
Primitives/EML.olean	79	2593	12500	1	11532
Primitives/Imscription.olean	906	8212	33040	7	24627
Primitives/Lattice.olean	34	3082	1788	1	3050
Primitives/LinearOrder.olean	1119	14969	61656	14	45424
Primitives/OPN_2adic.olean	648	15218	43590	5	34862
Primitives/SacredVessel.olean	43	1813	17298	0	10399
Primitives/ScrollInvariant.olean	41	989	3196	3	2086
Primitives/TierCrossing.olean	48	1084	2445	1	2131
Primitives/Types/PrimitiveTypeAdo.olean	44	1166	5069	0	2162
Primitives/Types/PrimitiveTypeAge.olean	27	1144	4001	0	2326
Primitives/Types/PrimitiveTypeAh.olean	26	991	2098	0	1891
Primitives/Types/PrimitiveTypeAir.olean	47	940	2047	3	1821
Primitives/Types/PrimitiveTypeAre.olean	35	1266	4120	0	3061
Primitives/Types/PrimitiveTypeArray.olean	95	2801	1824	0	3403
Primitives/Types/PrimitiveTypeAsh.olean	28	1800	4759	0	4785
Primitives/Types/PrimitiveTypeAwe.olean	13	1185	6241	0	1888
Primitives/Types/PrimitiveTypeBib.olean	74	1156	2668	6	2306
Primitives/Types/PrimitiveTypeChurch.olean	9	1421	5852	0	5798
Primitives/Types/PrimitiveTypeDead.olean	19	1539	6415	0	2334
Primitives/Types/PrimitiveTypeEar.olean	39	1933	4410	1	4249
Primitives/Types/PrimitiveTypeEat.olean	55	1226	5081	1	5330
Primitives/Types/PrimitiveTypeEgg.olean	49	1026	2602	4	2000
Primitives/Types/PrimitiveTypeErr.olean	25	1299	7518	1	6654
Primitives/Types/PrimitiveTypeFee.olean	21	1735	5054	0	5109
Primitives/Types/PrimitiveTypeGag.olean	33	3301	2490	0	4030
Primitives/Types/PrimitiveTypeHaHa.olean	5	2745	2347	0	2810
Primitives/Types/PrimitiveTypeHung.olean	9	2068	1941	0	2149
Primitives/Types/PrimitiveTypeIan.olean	52	1289	5673	1	2369
Primitives/Types/PrimitiveTypeIce.olean	19	1442	8062	0	5112
Primitives/Types/PrimitiveTypeIf.olean	18	1522	6093	0	4601
Primitives/Types/PrimitiveTypeJudge.olean	78	1196	2381	1	2299
Primitives/Types/PrimitiveTypeKick.olean	35	1071	2563	0	2045
Primitives/Types/PrimitiveTypeLoll.olean	40	4348	7646	0	4974
Primitives/Types/PrimitiveTypeMeasure.olean	21	1718	9370	0	9325
Primitives/Types/PrimitiveTypeMime.olean	40	1769	5564	0	2467
Primitives/Types/PrimitiveTypeMonad.olean	34	1229	2909	0	2968
Primitives/Types/PrimitiveTypeNun.olean	48	1437	4425	0	4059
Primitives/Types/PrimitiveTypeOak.olean	48	1214	2761	0	2222
Primitives/Types/PrimitiveTypeOil.olean	37	1173	2252	1	1947
Primitives/Types/PrimitiveTypeOn.olean	30	1235	2984	0	2447
Primitives/Types/PrimitiveTypeOoze.olean	27	1756	14312	0	14303
Primitives/Types/PrimitiveTypeOr.olean	56	1229	3571	0	2302
Primitives/Types/PrimitiveTypeOut.olean	50	1336	5177	0	2385
Primitives/Types/PrimitiveTypePeep.olean	41	1461	2694	1	2292
Primitives/Types/PrimitiveTypeRoar.olean	14	1289	7122	0	7345
Primitives/Types/PrimitiveTypeSo.olean	22	1274	6807	1	2547
Primitives/Types/PrimitiveTypeSure.olean	28	1220	2198	1	2089
Primitives/Types/PrimitiveTypeThey.olean	14	1571	6072	0	5999
Primitives/Types/PrimitiveTypeThigh.olean	14	2227	9478	0	9841
Primitives/Types/PrimitiveTypeTot.olean	29	1338	2576	1	2326
Primitives/Types/PrimitiveTypeUp.olean	297	1001	2033	0	2033
Primitives/Types/PrimitiveTypeVow.olean	8	2557	2478	1	3253
Primitives/Types/PrimitiveTypeWoe.olean	25	1392	4008	0	3054
Primitives/Types/PrimitiveTypeWool.olean	18	1604	7396	0	2679
Primitives/Types/PrimitiveTypeYea.olean	25	1172	2024	2	2012
Primitives/Types/PrimitiveTypeYew.olean	37	1397	3509	0	2401
Primitives/Types/PrimitiveTypeZoo.olean	17	1725	4707	0	2606
ProofTheory.olean	119	1686	7795	1	6468
Quantum/ExcitedStates.olean	109	2163	8077	2	7585
Quantum/FibonacciAnyon.olean	25	6362	16849	0	5274
Quantum/FrobeniusDualPOVM.olean	76	2541	16082	0	10171
Quantum/GateObstruction.olean	137	52926	18090	0	21135
Quantum/GrammarPOVM.olean	161	11814	29544	2	13396
Quantum/OVM.olean	282	5972	43236	1	26966
Quantum/PeriodReadout.olean	16	1381	1462	1	1861
Quantum/WindingLattice.olean	37	3598	9705	0	4506
Quersitanus.olean	6	584	1397	0	1448
RotatOpOpcode.olean	19	824	2398	3	1719
Scratch/ProverScratch.olean	12	653	972	0	1056
Scratch/ProverScratchB.olean	8	664	963	0	1148
Seals.olean	44	4674	2686	0	2297
SerpentRod.olean	160	3680	20481	2	10424
SixCoeffFrobenius.olean	62	1752	8028	0	3336
SpectralFace.olean	72	1509	3551	0	3136
TheGrammarAppliedToTheGrammar.olean	19	1213	4393	0	1869
Tier2/CLU_GPM.olean	522	8189	32442	10	22276
TierRefinement.olean	56	2033	9137	0	8887
TimeFixedPoint.olean	57	1104	2853	0	2362
TimeWithinTheStone.olean	220	1440	4695	1	3768
Urbigerus.olean	8	615	1151	0	1211
UsableZeroPointEnergy.olean	18	802	1294	1	1357
VaeVitaScaffold.olean	4	2260	2399	0	2719
VesselContent.olean	174	3622	27789	3	11346
VitalNecrosis.olean	119	772	1398	0	1452
Vox/ProofLift.olean	206	5233	16182	2	13021
at_home_zpe_scaffold.olean	1	457	321	0	530
