module	T	B	N	F	fns
Millennium/DialetheicUniverse.olean	45	1759	8901	2	8594
Millennium/DimensionfulEmission.olean	22	812	1631	0	1400
Millennium/Dixmier.olean	26	1242	2817	0	2783
Millennium/DualLinkVessel.olean	608	8888	30201	6	22505
Millennium/E8G2_Vessel.olean	10	750	1280	0	1310
Millennium/E8G2_Vessel_Witnesses.olean	56	802	2392	0	2003
Millennium/EilenbergGanea.olean	64	3610	18508	1	18564
Millennium/Erdos/APFreeReduction.olean	217	7568	17131	4	16424
Millennium/Erdos/AdditiveEnergy.olean	117	2211	7118	2	5675
Millennium/Erdos/AntiRamseyOddCycles.olean	108	3986	21857	2	17828
Millennium/Erdos/Base.olean	12	1014	6118	0	2915
Millennium/Erdos/BinomialGCD.olean	31	1933	9274	0	3646
Millennium/Erdos/ChromaticOddCycle.olean	55	2312	9770	0	7485
Millennium/Erdos/CollatzDepthSplit.olean	4410	70488	371229	46	311913
Millennium/Erdos/Collatz_Escape_Measure.olean	19	861	2009	1	1429
Millennium/Erdos/Collatz_Proof_Skeleton.olean	174	7332	55206	0	52872
Millennium/Erdos/Collatz_Unified_Closure.olean	42	1604	8014	1	5802
Millennium/Erdos/DifferenceSets.olean	47	2788	13761	0	13700
Millennium/Erdos/ErdosKacInterval.olean	91	4180	3928	1	5507
Millennium/Erdos/ErdosTuranAP.olean	49	1733	3607	0	3314
Millennium/Erdos/MonochromaticOddCycle.olean	37	2187	6701	0	6665
Millennium/Erdos/PolynomAsymptotics.olean	96	2436	6884	2	4299
Millennium/Erdos/PomeranceSDR.olean	61	3681	27273	0	20288
Millennium/Erdos/Problems/FullDecomposedProof.olean	19	925	3344	0	2992
Millennium/Erdos/Problems/FullyDecomposedProof.olean	25	1002	4619	0	4665
Millennium/Erdos/Problems/Problem0003.olean	239	3347	14030	3	12097
Millennium/Erdos/Problems/Problem0041.olean	67	2420	11422	0	10536
Millennium/Erdos/Problems/Problem0500.olean	11	788	1536	0	1552
Millennium/Erdos/Problems/Problem0564.olean	67	1808	4274	0	3596
Millennium/Erdos/Problems/Problem0593.olean	42	2685	23116	0	19183
Millennium/Erdos/Problems/Problem1135.olean	89	5726	3785	0	5393
Millennium/Erdos/RamseyAsymptotics.olean	41	2578	12610	0	8704
Millennium/Erdos/RatioSetSharp.olean	149	2204	7944	6	6248
Millennium/Erdos/SchutteTClose.olean	731	7252	39297	15	16265
Millennium/Erdos/SchutteTournament.olean	201	3323	15874	5	7646
Millennium/Erdos/SidonCounting.olean	248	3794	12771	2	9026
Millennium/Erdos/SquarefreePlusPowerOfTwo.olean	106	3496	10155	1	9984
Millennium/Erdos/SquarefreePlusPowerOfTwoClose.olean	139	2167	14405	12	6161
Millennium/Erdos/StrausGreedyFamily.olean	7625	110691	370939	121	263241
Millennium/Erdos/SubgroupOrders.olean	193	3495	22297	2	8260
Millennium/Erdos/SumsetAvoidingAP.olean	310	6970	42636	9	27854
Millennium/Erdos/TrianglePartition.olean	308	5396	23334	7	16707
Millennium/Erdos/UnitDistance.olean	318	4777	15619	9	12566
Millennium/ErdosFormalize.olean	19	4855	3521	1	5204
Millennium/ErdosFormalize2.olean	110	2395	6993	0	5714
Millennium/ErdosFormalize3.olean	47	2549	17472	0	5206
Millennium/ErdosProblems.olean	86	4116	23380	0	21938
Millennium/FieldTheoreticMacrocycle.olean	30	1214	5965	1	2334
Millennium/FineStructureConstant.olean	23	840	1687	0	1566
Millennium/FrobeniusStructure.olean	88	1425	6287	0	3410
Millennium/FrobeniusUnification.olean	127	11735	12918	0	10753
Millennium/GapCompletion.olean	16	1518	12053	0	11754
Millennium/GeneralizedPipeline.olean	1428	32477	87270	3	33625
Millennium/GodelCompleteSentence.olean	134	3147	10238	2	9306
Millennium/GodelCompleteUniverse.olean	9	1874	1368	0	1845
Millennium/GodelCompletion.olean	93	2042	6095	2	4430
Millennium/GodelResolvedFinal.olean	285	3623	11614	6	9543
Millennium/Goldbach.olean	22	2302	7334	2	7495
Millennium/GoldbachABC.olean	116	1839	4780	2	4473
Millennium/GrammarBridge.olean	70	1368	10574	1	4201
Millennium/GrammarMetricDerivation.olean	22	1195	2140	0	2078
Millennium/GrammarSICPOVM_ZaunerBridge.olean	20	1101	1879	0	1827
Millennium/GrammarStructuralAnalysis.olean	69	2123	11944	4	7316
Millennium/GrammarUniversalDualFrameSICPOVM.olean	155	3302	22709	0	20596
Millennium/GravitationalCoupling.olean	10	866	3265	0	2312
Millennium/GrothendieckA.olean	91	2871	10200	5	6823
Millennium/HadwigerNelson.olean	18	2715	6575	0	7334
Millennium/Hodge.olean	25	1326	1864	0	2187
Millennium/Hodge_AlgebraicCycleConstruction.olean	5	704	1319	0	1276
Millennium/Hodge_Descent.olean	99	2821	9174	3	5085
Millennium/Hodge_GateInhabitants.olean	22	909	1633	0	1634
Millennium/Hodge_Grammar.olean	91	1686	4688	0	3271
Millennium/Hodge_KernelCrossing.olean	29	4030	4317	0	4843
Millennium/Hodge_Mathematical_Witness.olean	47	2010	17524	0	14546
Millennium/Hodge_RegulatorSurjectivity.olean	1	1134	948	0	1313
Millennium/Hodge_ThresholdCrossing.olean	372	6891	10524	0	7247
Millennium/Hodge_Witness.olean	10	660	836	0	1013
Millennium/HolonomyWinding.olean	125	3026	10201	1	9670
Millennium/HornTorusEmission.olean	19	1377	7210	0	3326
Millennium/HornTorusModularForm.olean	50	1410	5304	1	4675
Millennium/HubbleConstant.olean	44	917	1859	0	1727
Millennium/IGThresholdAnalysis.olean	90	1742	4376	1	3587
Millennium/ImaginaryNumbers.olean	66	1341	4908	3	4201
Millennium/InflationarySlowRoll.olean	7	899	5108	0	3747
Millennium/LeeYang_Xi_Product_Construction.olean	26	1303	3990	1	4127
Millennium/Lefschetz11.olean	16	813	1400	0	1512
Millennium/Lefschetz11_Grammar.olean	18	4402	3571	0	3845
Millennium/LeptonMassRatios.olean	12	1204	3949	0	4148
Millennium/LonelyRunner.olean	62	1899	3674	1	4121
Millennium/Macrocycle107_1135_713.olean	132	2744	7703	1	5703
Millennium/MacrocyclicClosure.olean	62	1492	5658	2	3776
Millennium/MajoranaPhases.olean	0	935	522	0	1029
Millennium/Manuscript_ZFCt.olean	87	1532	5628	3	2933
Millennium/Master_Witness.olean	21	1165	922	0	1296
Millennium/MathProof.olean	581	5752	32777	10	11338
Millennium/NS.olean	23	2157	6780	0	5597
Millennium/NS_CriticalBound.olean	62	3228	14536	0	14469
Millennium/NS_Mathematical_Witness.olean	148	2681	11983	5	9488
Millennium/NS_Resolution.olean	30	1458	6559	0	2565
Millennium/NS_Seige.olean	4	865	2372	0	2630
Millennium/NS_Witness.olean	18	1039	5383	0	1614
Millennium/NS_ZFCt_Bridge.olean	34	1191	4981	0	5210
Millennium/OPN.olean	11	1126	3187	1	3396
