Imscribing.Paraconsistent.inc_closes_in_one_step	⊢∈⊤◻⋈◻⋈◻⋈⊙⋈◻⋈◻⋈⊙⊥⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈⊙∋⊣	clean
Imscribing.Paraconsistent.inc_idempotent	⊢∈⊤◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⊥⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈⊙∋⊣	clean
Imscribing.Paraconsistent.inc_is_closure_operator	⊢◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈⊙⋈⊙⋈⊙⋈◻⊣	clean
Imscribing.Paraconsistent.inc_fixed_point_iff	⊢◻⋈◻⋈◻⋈◻⋈⊙⋈⊙⋈◻⋈◻⋈⊙⋈◻⋈≺⋈◻⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈⊙⋈⊙⋈◻⋈◻⋈◻⋈⊙⋈◻⋈◻⋈◻⋈⊙⋈◻⋈◻⋈◻⋈⊙⋈⊙⋈◻⋈⊙⋈⊙⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈⊙⋈◻⋈◻⋈◻⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊣	clean
Imscribing.Paraconsistent.inc_monotone	⊢∈⊤◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⊥⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈∈⊤◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⊥⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈⊙∋⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈∈⊤◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⊥⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈⊙∋⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈∈⊤◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⊥⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈⊙∋⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈∈⊤◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⊥⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈⊙∋⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⋈⊙⊥◻⋈◻⋈⊙∋⊣	clean
Imscribing.Paraconsistent.inc_inflationary	⊢∈⊤◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⊥⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈◻⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈⊙∋⊣	clean
Imscribing.Paraconsistent.inc_strict_below_B	⊢◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈⊙⋈≻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⋈◻⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈◻⋈◻⋈⊙⋈⊙⋈◻⋈⊙⋈⊙⊣	clean
Imscribing.Paraconsistent.inc_image_is_B	⊢∈⊤◻⋈◻⋈◻⋈⊙⋈◻⊥⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈◻⋈◻⋈◻⋈◻⋈⊙⋈≺⋈◻⋈⊙⋈◻⋈⊙⊥◻⋈◻⋈⊙∋⊣	clean
Imscribing.Paraconsistent.unique_closed_state	⊢◻⋈◻⋈◻⋈◻⋈⊙⋈⊙⋈◻⋈◻⋈⊙⋈◻⋈◻⋈⊙⋈⊙⊣	clean
