Belnap.ofNat_ctorIdx	⊢∈⊤◻⋈◻⋈◻⋈◻⋈⊙⋈⊙⊥⊙⊥◻⋈◻⋈◻⊥◻⋈◻⋈◻⊥◻⋈◻⋈◻⊥◻⋈◻⋈◻∋⊣	clean
Belnap.bnot.eq_4	⊢◻⋈◻⋈◻⋈◻⊣	clean
Belnap.B.sizeOf_spec	⊢◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⊣	clean
Belnap.bnot.eq_3	⊢◻⋈◻⋈◻⋈◻⊣	clean
Belnap.T.sizeOf_spec	⊢◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⊣	clean
Belnap.bnot.eq_2	⊢◻⋈◻⋈◻⋈◻⊣	clean
Belnap.bnot.eq_1	⊢◻⋈◻⋈◻⋈◻⊣	clean
Belnap.F.sizeOf_spec	⊢◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⊣	clean
Belnap.N.sizeOf_spec	⊢◻⋈◻⋈◻⋈◻⋈⊙⋈◻⋈⊙⊣	clean
ParaconsistentFrobeniusClosure.inc_inc_eq_inc	⊢◻⋈⊙⊣	clean
ParaconsistentFrobeniusClosure.B_is_fixed_point	⊢◻⋈◻⋈◻⋈◻⊣	clean
